,Tumor Volume (mm3),Tumor Volume (mm3),Tumor Volume (mm3),Tumor Volume (mm3),Tumor Volume (mm3)
,mean,median,var,std,sem
Drug Regimen,,,,,
Capomulin,40.675741141,41.557808879999996,24.947764120254796,4.994773680584016,0.32934562340083057
Ceftamin,52.59117180960674,51.77615728,39.29017727327853,6.268187718414193,0.46982053275261054
Infubinol,52.88479510859551,51.82058438,43.1286841288359,6.567243267066928,0.4922356938011374
Ketapril,55.23563764047872,53.698742644999996,68.55357711244575,8.279708757706743,0.6038598237739686
Naftisol,54.331564658333335,52.509284609999995,66.17347898736521,8.134708291473347,0.5964657512424241
Placebo,54.03358078635359,52.28893409,61.16808293669708,7.8210026810311915,0.5813305510593878
Propriva,52.368317986,50.909964985,42.278089619581614,6.502160380948905,0.5140409128876661
Ramicane,40.21674506671052,40.67323554,23.48670395209522,4.8463082807530125,0.3209546065084814
Stelasyn,54.23314911988951,52.43173664,59.45056167336612,7.710419033578273,0.5731109332771465
Zoniferol,53.23650655159341,51.818479325,48.53335538938598,6.966588504381896,0.5163978968332164
